Food,Measure,Grams,Calories,Protein,Fat,Sat. Fat,Fiber,Carbs,Category
Almonds,0.5 cups,70,425,13,38,28,1.8,13,Seeds and Nuts
Apple betty,1 cup,100,150,1,4,0,0.5,29,"Desserts, sweets"
Apple juice canned,1 cup,250,125,0.01,0,0,0,34,Fruits
Apple vinegar,0.33 cups,100,14,0.01,0,0,0,3,Fruits
Apples,0.75 cups,130,70,0.01,0.01,0,1,18,Fruits
Apricots,1 cup,250,220,2,0.01,0,1,57,Fruits
Artichoke,1.5 cups,100,16285,2,0.01,0.01,2,10,Vegetables
Asparagus,2 cups,96,18,1,0.01,0.01,0.5,3,Vegetables
Avocado,0.75 cups,108,185,2,18,12,1.8,6,Fruits
Bacon,2 units,16,95,4,8,7,0,1,"Meat, Poultry"
Banana,0.75 cups,150,85,1,0.01,0,0.9,23,Fruits
Bean soups,1 cup,250,190,8,5,4,0.6,30,Soups
Bean sprouts,1 cup,50,17,1,0.01,0,0.3,3,Vegetables
Beans,1 cup,125,25,1,0.01,0.01,0.8,6,Vegetables
Beef,0.375 cups,85,245,23,16,15,0,0,"Meat, Poultry"
Beef soup,1 cup,250,100,6,4,4,0.5,11,Soups
Beer,2 cups,480,228,0.01,0,0,0,8,"Drinks, Alcohol, Beverages"
Beet greens,1 cup,100,27,2,0.01,0,1.4,6,Vegetables
Beetroots,1 cup,165,1,12,0,,0.01,0.8,Vegetables
Biscuits,1 unit,38,130,3,4,3,0.01,18,"Breads, cereals, fastfood, grains"
Blackberries,1 cup,144,85,2,1,0,6.6,19,Fruits
Blueberries,1 cup,250,245,1,0.01,0,2,65,Fruits
Bouillon,1 cup,240,24,5,0,0,0,0,Soups
Bran flakes,1 cup,25,117,3,0.01,0,0.1,32,"Breads, cereals, fastfood, grains"
Brazil nuts,0.5 cups,70,457,10,47,31,2,7,Seeds and Nuts
Bread pudding,0.75 cups,200,374,11,12,11,0.2,56,"Desserts, sweets"
"Bread, cracked wheat",1 unit,23,60,2,1,1,0.1,12,"Breads, cereals, fastfood, grains"
Broccoli,1 cup,150,45,5,0.01,0,1.9,8,Vegetables
Brussels sprouts,1 cup,130,60,6,0.01,0,1.7,12,Vegetables
Butter,0.5 cups,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
Buttermilk,1 cup,246,127,9,5,4,0,13,Dairy products
Cakes,1 unit,40,110,3,0.01,0,0,23,"Desserts, sweets"
